Adhyaaya # अध्यायः,Paada # पादः,Sutra_num सू. सं.,Sutra_krama सू. क्र. सं,Akaaraadi_krama अकारादि क्र. सं,Kaumudi_krama कौमुदी क्र. सं,Sutra_id पूर्ण सू. सं.,Sutra_type सूत्रलक्षणम्‌,Term संज्ञा,Metarule परिभाषा,Special_case अतिदेशः,Influence अधिकारः,Commentary व्याख्यानम्‌,Sutra_text सूत्रम्‌,PadacCheda पद्च्छेदः,SamasacCheda समासच्छेदः,Anuvrtti pada sutra # अनुवृत्ति-पदम् सूत्र-सङ्ख्या,PadacCheda_notes
2,1,47,21047,1240,724,2.1.47,संज्ञा,तत्पुरुषः,,,,2.1.47,क्षेपे |,क्षेपे ७/१,क्षेपे ७/१,21002: सुप् | 21003: समासः | 21004: सह सुपा | 21011: विभाषा | 21022: तत्पुरुषः | 21040: सप्तमी | 21045: क्तेन,
2,1,48,21048,2353,725,2.1.48,संज्ञा,तत्पुरुषः,,,,2.1.48,पात्रेसमितादयश्च |,पात्रेसंमितादयः १/३ च ०/०,पात्रेसमितादयः १/३ च ०/०,21002: सुप् | 21003: समासः | 21004: सह सुपा | 21022: तत्पुरुषः | 21040: सप्तमी | 21047: क्षेपे,
2,1,49,21049,2417,726,2.1.49,संज्ञा,तत्पुरुषः,,,,2.1.49,पूर्वकालैकसर्वजरत्पुराणनवकेवलाः समानाधिकरणेन |,पूर्वकालैकसर्वजरत्पुराणनवकेवलाः १/३ समानाधिकरणेन ३/१,पूर्वकाल-एक-सर्व-जरत्-पुराण-नव-केवलाः १/३ समानाधिकरणेन ३/१,21002: सुप् | 21003: समासः | 21004: सह सुपा | 21011: विभाषा | 21022: तत्पुरुषः,
2,1,50,21050,1859,727,2.1.50,संज्ञा,तत्पुरुषः,,,,2.1.50,दिक्संख्ये संज्ञायाम्‌ |,दिक्सङ्-ख्ये १/२ संज्ञायाम् ७/१,दिक्सङ्ख्ये १/२ संज्ञायाम् ७/१,21002: सुप् | 21003: समासः | 21004: सह सुपा | 21022: तत्पुरुषः | 21049: समानाधिकरणेन,
2,1,51,21051,1651,728,2.1.51,संज्ञा,तत्पुरुषः,,,,2.1.51,तद्धितार्थोत्तरपदसमाहारे च |,तद्धितार्थोत्तरपदसमाहारे ७/१ च ०/०,तद्धितार्थ-उत्तरपद-समाहारे ७/१ च ०/०,21002: सुप् | 21003: समासः | 21004: सह सुपा | 21011: विभाषा | 21022: तत्पुरुषः | 21049: समानाधिकरणेन | 21050: दिक्सङ्ख्ये,
2,1,52,21052,3510,730,2.1.52,संज्ञा,द्विगुः,,,,2.1.52,संख्यापूर्वो द्विगुः |,संख्यापूर्वः १/१ द्विगुः १/१,संख्या-पूर्वः १/१ द्विगुः १/१,na,
2,1,53,21053,1104,731,2.1.53,संज्ञा,तत्पुरुषः,,,,2.1.53,कुत्सितानि कुत्सनैः |,कुत्सितानि १/३ कुत्सनैः ३/३,कुत्सितानि १/३ कुत्सनैः ३/३,21002: सुप् | 21003: समासः | 21004: सह सुपा | 21011: विभाषा | 21022: तत्पुरुषः | 21049: समानाधिकरणेन,
2,1,54,21054,2363,732,2.1.54,संज्ञा,तत्पुरुषः,,,,2.1.54,पापाणके कुत्सितैः |,पापाणके १/२ कुत्सितैः ३/३,पाप-अणके १/२ कुत्सितैः ३/३,21002: सुप् | 21003: समासः | 21004: सह सुपा | 21011: विभाषा | 21022: तत्पुरुषः | 21049: समानाधिकरणेन | 21053: कुत्सनैः,
2,1,55,21055,769,733,2.1.55,संज्ञा,तत्पुरुषः,,,,2.1.55,उपमानानि सामान्यवचनैः |,उपमानानि १/३ सामान्यवचनैः ३/३,उपमानानि १/३ सामान्य-वचनैः ३/३,21002: सुप् | 21003: समासः | 21004: सह सुपा | 21011: विभाषा | 21022: तत्पुरुषः | 21049: समानाधिकरणेन,
2,1,56,21056,771,734,2.1.56,संज्ञा,तत्पुरुषः,,,,2.1.56,उपमितं व्याघ्रादिभिः सामान्याप्रयोगे |,उपमितम् १/१ व्याघ्रादिभिः ३/३ सामान्याप्रयोगे ७/१,उपमितम् १/१ व्याघ्र-आदिभिः ३/३ सामान्य-अप्रयोगे ७/१,21002: सुप् | 21003: समासः | 21004: सह सुपा | 21011: विभाषा | 21022: तत्पुरुषः | 21049: समानाधिकरणेन,
